,Date,Market,Capital_used,ROI,Profit_Loss,Opened_trades,Closed_trades,Profitable_trades,Loosing_trades,Targets_met,Stoplosses_hit,broker_name,segment,trade_type,long_short,hourly_slots,pre_planned_or_adhoc,strategy_id
0,13/04/2021,IND,174357,-0.03,-8630.67,9,50,44,6,8,0,B, Equity,scalping,Short,3,1,3
1,29/04/2021,IND,545557,-1.2,-24277.29,30,37,6,31,0,18,A,Forex,intraday,Short,1,1,8
2,01/04/2021,IND,1149207,-0.24,-40796.85,30,35,2,33,2,27,D,Commodities,swing,Long,4,1,9
3,30/06/2021,IND,116213,0.6,2324.26,47,37,10,27,10,9,D,Commodities,scalping,Long,1,1,1
4,05/07/2021,IND,1082569,-0.11,-33018.35,23,13,8,5,1,0,B,Forex,intraday,Short,1,1,3
5,03/05/2021,IND,1215902,-0.02,-50459.93,33,37,8,29,0,1,B,FnO,intraday,Long,2,1,2
6,12/06/2021,IND,608447,-0.84,-23729.43,24,22,13,9,13,3,B,FnO,scalping,Long,1,2,10
7,14/04/2021,IND,1237948,1.0,19807.17,34,4,2,2,1,1,D,Commodities,intraday,Short,2,1,9
8,17/04/2021,IND,1274211,-0.73,-49057.12,21,8,4,4,3,4,C,Commodities,positional,Short,3,2,1
9,15/05/2021,IND,658680,0.58,14161.62,44,3,1,2,1,2,A,Shares,intraday,Short,2,2,7
10,02/04/2021,IND,1062259,-0.81,-30274.38,32,14,12,2,7,0,A, Equity,scalping,Long,2,1,5
11,16/06/2021,IND,470897,0.01,19777.67,32,41,13,28,12,9,B, Equity,intraday,Long,1,2,6
12,20/05/2021,IND,848982,-0.46,18253.11,45,6,1,5,0,4,A,Shares,intraday,Short,1,2,3
13,18/07/2021,IND,922965,-0.68,-40610.46,21,40,34,6,1,2,C,Shares,intraday,Long,2,1,6
14,21/05/2021,IND,177907,0.14,6226.74,3,35,21,14,17,6,C,Commodities,intraday,Short,1,2,9
15,20/05/2021,IND,1309365,-0.46,-58266.74,39,25,13,12,13,1,D, Equity,scalping,Short,1,2,7
16,31/05/2021,IND,971553,0.36,34490.13,43,28,2,26,2,10,A,Shares,positional,Short,4,1,8
17,12/04/2021,IND,425204,0.2,-19559.38,3,43,38,5,29,2,C,FnO,scalping,Short,1,2,5
18,02/05/2021,IND,1198357,0.08,7789.32,46,38,35,3,8,3,D,Shares,scalping,Long,2,1,9
19,19/04/2021,IND,57553,-0.85,2704.99,40,5,4,1,3,1,B,Forex,swing,Long,2,1,6
20,20/05/2021,IND,869903,-0.46,-11743.69,46,45,31,14,11,5,B,FnO,positional,Short,1,1,1
21,03/07/2021,IND,301141,-0.17,-13551.34,7,1,0,1,0,1,D, Equity,scalping,Short,3,2,8
22,01/07/2021,IND,480249,-0.61,-6723.49,7,45,39,6,23,4,C,Shares,intraday,Short,4,1,5
23,17/05/2021,IND,976950,1.07,-40543.43,10,25,7,18,4,7,B,Forex,positional,Short,1,1,4
24,24/05/2021,IND,758403,-0.59,-37920.15,47,19,7,12,0,6,B,FnO,intraday,Long,2,2,8
25,08/04/2021,IND,824435,0.07,20198.66,5,7,7,0,7,0,B,FnO,positional,Long,4,2,8
26,04/04/2021,IND,750589,-0.75,-9382.36,49,13,6,7,2,3,D,Shares,swing,Short,3,2,10
27,21/04/2021,IND,371086,-0.19,3525.32,15,28,24,4,5,2,B,Commodities,swing,Short,3,1,5
28,28/06/2021,IND,963716,-0.3,40957.93,2,23,14,9,9,7,D,Shares,intraday,Long,1,2,6
29,10/04/2021,IND,332296,-0.12,5649.03,31,23,23,0,12,0,D,Commodities,positional,Long,3,1,5
30,06/06/2021,IND,1300309,-0.45,50712.05,50,20,17,3,0,2,A, Equity,swing,Long,4,2,5
31,04/06/2021,IND,583094,-0.04,7871.77,50,15,11,4,5,3,D,Forex,positional,Long,1,2,4
32,24/06/2021,IND,1008370,0.18,-23696.69,7,24,12,12,2,11,C,FnO,positional,Short,4,2,10
33,10/04/2021,IND,396377,-0.12,-18431.53,41,6,1,5,0,0,C,Commodities,scalping,Long,3,1,4
34,28/04/2021,IND,724949,0.53,-30447.86,12,30,22,8,1,2,B,FnO,scalping,Short,3,2,9
35,11/05/2021,IND,1213817,0.42,39449.05,32,12,1,11,1,7,B,Forex,scalping,Short,3,2,9
36,12/06/2021,IND,1457482,-0.84,-64129.21,21,47,20,27,11,25,D, Equity,positional,Short,2,2,3
37,18/05/2021,IND,433353,0.44,9317.09,17,37,34,3,33,3,B,Forex,positional,Long,4,1,10
38,24/04/2021,IND,535756,0.15,15269.05,11,1,0,1,0,0,A,Forex,swing,Long,3,1,1
39,14/07/2021,IND,556853,0.69,11972.34,4,49,16,33,5,23,A,FnO,scalping,Long,1,2,1
40,22/04/2021,IND,937214,-0.36,17807.07,35,31,14,17,1,15,B,Forex,intraday,Short,3,1,10
41,29/06/2021,IND,439161,0.32,2195.8,16,25,25,0,9,0,B,Commodities,positional,Short,4,2,1
42,05/05/2021,IND,703565,-0.48,12312.39,40,43,22,21,7,1,A, Equity,scalping,Short,1,2,6
43,29/04/2021,IND,1147440,-1.2,-6310.92,40,41,22,19,10,2,A,Commodities,intraday,Long,4,2,6
44,04/05/2021,IND,1110958,-0.21,8887.66,28,37,17,20,7,16,C, Equity,scalping,Short,1,1,2
45,08/04/2021,IND,472876,0.07,5438.07,34,26,8,18,8,0,A,Forex,positional,Short,1,1,3
46,01/07/2021,IND,942446,-0.61,-29687.05,24,47,3,44,0,13,A, Equity,scalping,Short,1,2,9
47,19/05/2021,IND,727007,-0.47,19629.19,17,38,34,4,33,4,C,Forex,intraday,Short,4,1,10
48,16/07/2021,IND,562202,-0.57,9276.33,49,39,1,38,0,24,A,Commodities,swing,Short,3,1,2
49,08/05/2021,IND,609304,0.39,17365.16,31,20,1,19,1,7,D,Forex,positional,Short,4,2,7
50,09/05/2021,IND,112932,-0.84,-2371.57,33,11,0,11,0,5,D,Shares,intraday,Short,1,2,4
51,17/06/2021,IND,881345,-0.04,12338.83,32,16,12,4,10,2,C, Equity,scalping,Long,3,2,4
52,07/06/2021,IND,1348569,0.75,-53942.76,35,43,24,19,8,0,B,FnO,scalping,Short,2,2,9
53,26/06/2021,IND,317866,-1.72,14145.04,27,50,3,47,2,8,A, Equity,swing,Long,3,1,1
54,22/06/2021,IND,1418444,0.15,54610.09,34,30,6,24,1,8,B, Equity,positional,Long,3,1,3
55,22/07/2021,IND,375438,-0.05,11826.3,15,46,38,8,24,0,B,Shares,intraday,Long,1,1,1
56,02/04/2021,IND,723642,-0.81,-19900.15,34,19,4,15,1,6,A, Equity,swing,Long,4,2,2
57,01/06/2021,IND,865367,-1.27,-14278.56,16,11,11,0,11,0,D,Forex,positional,Long,4,1,3
58,05/06/2021,IND,713916,0.04,-33554.05,10,22,18,4,11,0,A,Shares,intraday,Long,4,2,5
59,08/04/2021,IND,564244,0.07,7617.29,12,25,20,5,13,4,D,FnO,swing,Short,1,2,9
60,04/07/2021,IND,556838,-0.32,4176.28,10,12,1,11,0,5,A, Equity,intraday,Long,1,2,9
61,01/04/2021,IND,772565,-0.24,-9657.06,8,39,1,38,0,36,B,Forex,positional,Short,1,2,7
62,11/04/2021,IND,867787,0.31,39484.31,33,24,13,11,11,5,C,Commodities,swing,Long,1,1,8
